atom,radii,color
H,120.0,#FFFFFF
He,143.0,#D9FFFF
Li,212.0,#CC80FF
Be,198.0,#C2FF00
B,191.0,#FFB5B5
C,177.0,#909090
N,166.0,#3050F8
O,150.0,#FF0D0D
F,146.0,#90E050
Ne,158.0,#B3E3F5
Na,250.0,#AB5CF2
Mg,251.0,#8AFF00
Al,225.0,#BFA6A6
Si,219.0,#F0C8A0
P,190.0,#FF8000
S,189.0,#FFFF30
Cl,182.0,#1FF01F
Ar,194.0,#80D1E3
K,273.0,#8F40D4
Ca,262.0,#3DFF00
Sc,258.0,#E6E6E6
Ti,246.0,#BFC2C7
V,242.0,#A6A6AB
Cr,245.0,#8A99C7
Mn,245.0,#9C7AC7
Fe,244.0,#E06633
Co,240.0,#F090A0
Ni,240.0,#50D050
Cu,238.0,#C88033
Zn,239.0,#7D80B0
Ga,232.0,#C28F8F
Ge,229.0,#668F8F
As,188.0,#BD80E3
Se,182.0,#FFA100
Br,186.0,#A62929
Kr,207.0,#5CB8D1
Rb,321.0,#702EB0
Sr,284.0,#00FF00
Y,275.0,#94FFFF
Zr,252.0,#94E0E0
Nb,256.0,#73C2C9
Mo,245.0,#54B5B5
Tc,244.0,#3B9E9E
Ru,246.0,#248F8F
Rh,244.0,#0A7D8C
Pd,215.0,#006985
Ag,253.0,#C0C0C0
Cd,249.0,#FFD98F
In,243.0,#A67573
Sn,242.0,#668080
Sb,247.0,#9E63B5
Te,199.0,#D47A00
I,204.0,#940094
Xe,228.0,#429EB0
Cs,348.0,#57178F
Ba,303.0,#00C900
La,298.0,#70D4FF
Ce,288.0,#FFFFC7
Pr,292.0,#D9FFC7
Nd,295.0,#C7FFC7
Pm,400.0,#A3FFC7
Sm,290.0,#8FFFC7
Eu,287.0,#61FFC7
Gd,283.0,#45FFC7
Tb,279.0,#30FFC7
Dy,287.0,#1FFFC7
Ho,281.0,#00FF9C
Er,283.0,#00E675
Tm,279.0,#00D452
Yb,280.0,#00BF38
Lu,274.0,#00AB24
Hf,263.0,#4DC2FF
Ta,253.0,#4DA6FF
W,257.0,#2194D6
Re,249.0,#267DAB
Os,248.0,#266696
Ir,241.0,#175487
Pt,229.0,#D0D0E0
Au,232.0,#FFD123
Hg,245.0,#B8B8D0
Tl,247.0,#A6544D
Pb,260.0,#575961
Bi,254.0,#9E4FB5
Po,400.0,#AB5C00
At,400.0,#754F45
Rn,240.0,#428296
Fr,400.0,#420066
Ra,400.0,#007D00
Ac,280.0,#70ABFA
Th,293.0,#00BAFF
Pa,288.0,#00A1FF
U,271.0,#008FFF
Np,282.0,#0080FF
Pu,281.0,#006BFF
Am,283.0,#545CF2
Cm,305.0,#785CE3
Bk,340.0,#8A4FE3
Cf,305.0,#A136D4
Es,270.0,#B31FD4
Fm,400.0,#B31FBA
Md,400.0,#B30DA6
No,400.0,#BD0D87
Lr,400.0,#C70066
Rf,400.0,#CC0059
Db,400.0,#D1004F
Sg,400.0,#D90045
Bh,400.0,#E00038
Hs,400.0,#E6002E
Mt,400.0,#EB0026
Ds,400.0,#000000
Rg,400.0,#000000
Cn,400.0,#000000
Nh,400.0,#000000
Fl,400.0,#000000
Mc,400.0,#000000
Lv,400.0,#000000
Ts,400.0,#000000
Og,400.0,#000000
